sample_id,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s
acetone_20,60.0,60.0,120.0,120.0
acetone_21,60.0,60.0,120.0,120.0
acetone_22,60.0,60.0,120.0,120.0
acetone_23,60.0,60.0,120.0,120.0
acetone_24,60.0,60.0,120.0,120.0
acetone_25,60.0,60.0,120.0,120.0
acetone_26,60.0,60.0,120.0,120.0
acetone_27,60.0,60.0,120.0,120.0
acetone_28,60.0,60.0,120.0,120.0
acetone_29,60.0,60.0,120.0,120.0
acetone_3,60.0,60.0,120.0,120.0
acetone_30,60.0,60.0,120.0,120.0
acetone_31,60.0,60.0,120.0,120.0
acetone_32,60.0,60.0,120.0,120.0
acetone_33,60.0,60.0,120.0,120.0
acetone_34,60.0,60.0,120.0,120.0
acetone_35,60.0,60.0,120.0,120.0
acetone_36,60.0,60.0,120.0,120.0
acetone_37,60.0,60.0,120.0,120.0
acetone_38,60.0,60.0,120.0,120.0
acetone_39,59.280750000000005,60.0,70.0,70.0
acetone_4,60.0,60.0,120.0,120.0
acetone_40,59.3991,60.0,70.0,70.0
acetone_41,59.39955,60.0,70.0,70.0
acetone_42,59.41125,60.0,70.0,70.0
acetone_43,59.4108,60.0,70.0,70.0
acetone_44,59.29245,60.0,70.0,70.0
acetone_45,59.40585,60.0,70.0,70.0
acetone_46,59.41125,60.0,70.0,70.0
acetone_47,59.41125,60.0,70.0,70.0
acetone_48,57.12525,60.0,65.0,65.0
acetone_49,57.12525,60.0,65.0,65.0
acetone_5,60.0,60.0,120.0,120.0
acetone_50,57.1257,60.0,65.0,65.0
acetone_51,57.12525,60.0,65.0,65.0
acetone_52,60.0,60.0,120.0,120.0
acetone_53,60.0,60.0,120.0,120.0
acetone_54,60.0,60.0,120.0,120.0
acetone_55,60.0,60.0,120.0,120.0
acetone_56,60.0,60.0,120.0,120.0
acetone_57,60.0,60.0,120.0,120.0
acetone_58,60.0,60.0,120.0,120.0
acetone_59,60.0,60.0,120.0,120.0
acetone_6,60.0,60.0,120.0,120.0
acetone_60,60.0,60.0,120.0,120.0
acetone_61,60.0,60.0,120.0,120.0
acetone_62,60.0,60.0,120.0,120.0
acetone_63,60.0,60.0,120.0,120.0
acetone_64,60.0,60.0,120.0,120.0
acetone_65,60.0,60.0,120.0,120.0
acetone_66,60.0,60.0,120.0,120.0
acetone_67,60.0,60.0,120.0,120.0
acetone_68,60.0,60.0,120.0,120.0
acetone_69,60.0,60.0,120.0,120.0
acetone_7,60.0,60.0,120.0,120.0
acetone_70,60.0,60.0,120.0,120.0
acetone_71,60.0,60.0,120.0,120.0
acetone_72,60.0,60.0,120.0,120.0
acetone_73,60.0,60.0,120.0,120.0
acetone_8,60.0,60.0,120.0,120.0
acetone_9,60.0,60.0,120.0,120.0
