architecture,split,variant,method,mode,seed,selected_C,selection_status,best_epoch,final_training,label_usage,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,0,0.1,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6703296703296703,0.9,0.7289377289377289,0.7379115226337448,0.7409117892885192,0.05860805860805862
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,1,0.1,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6886446886446886,0.8666666666666667,0.7106227106227107,0.7186213991769547,0.7247924572479348,0.02197802197802201
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,2,0.1,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.7289377289377289,0.9666666666666667,0.7875457875457875,0.7908950617283951,0.7954904965214243,0.05860805860805862
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,3,0.1,validation-selected C,380,source train+source validation refit,source train + source validation labels,0.7802197802197802,1.0,0.8021978021978022,0.8015689300411523,0.8082709726259544,0.02197802197802201
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,dann,uda,4,0.1,validation-selected C,120,source train+source validation refit,source train + source validation labels,0.7912087912087912,1.0,0.8241758241758241,0.8236882716049383,0.8294061356600057,0.03296703296703296
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,0,0.1,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6776556776556777,0.8666666666666667,0.6996336996336996,0.7094907407407408,0.7017221833993322,0.0219780219780219
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,1,0.1,validation-selected C,50,source train+source validation refit,source train + source validation labels,0.8681318681318682,1.0,0.8937728937728938,0.8909465020576132,0.8940099755317146,0.02564102564102566
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,2,0.1,validation-selected C,270,source train+source validation refit,source train + source validation labels,0.8717948717948718,1.0,0.8754578754578755,0.871656378600823,0.8763563191703428,0.00366300366300365
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,3,0.1,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.7362637362637363,0.9666666666666667,0.7509157509157509,0.7548868312757202,0.7487177379582444,0.0146520146520146
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,deep-coral,uda,4,0.1,validation-selected C,80,source train+source validation refit,source train + source validation labels,0.8571428571428571,1.0,0.8644688644688645,0.8612397119341564,0.866161616161616,0.007326007326007411
