architecture,split,variant,method,mode,seed,C,validation_kind,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,0,1.0,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,0,10.0,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,1,0.1,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,1,1.0,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,1,10.0,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,2,0.1,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,2,1.0,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,2,10.0,source_val,0.8,0.75,0.7486772486772487
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,3,0.1,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,3,1.0,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,3,10.0,source_val,0.7,0.6666666666666666,0.6518518518518519
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,4,0.1,source_val,0.7,0.6666666666666666,0.6555555555555556
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,4,1.0,source_val,0.7,0.6666666666666666,0.6555555555555556
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,4,10.0,source_val,0.7,0.6666666666666666,0.6555555555555556
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,0,0.1,target_val,0.8571428571428571,0.8583333333333334,0.8602254428341385
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,0,1.0,target_val,0.8928571428571429,0.8916666666666666,0.8948431685273791
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,0,10.0,target_val,0.8928571428571429,0.8833333333333333,0.888888888888889
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,1,0.1,target_val,0.8571428571428571,0.8583333333333334,0.8539562289562289
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,1,1.0,target_val,0.8571428571428571,0.8583333333333334,0.8539562289562289
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,1,10.0,target_val,0.8571428571428571,0.8583333333333334,0.8539562289562289
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,2,0.1,target_val,0.8928571428571429,0.9,0.8912655971479501
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,2,1.0,target_val,0.8214285714285714,0.8166666666666668,0.8157809983896941
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,2,10.0,target_val,0.8571428571428571,0.85,0.8507936507936508
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,3,0.1,target_val,1.0,1.0,1.0
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,3,1.0,target_val,0.9642857142857143,0.9583333333333334,0.9619047619047619
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,3,10.0,target_val,0.9642857142857143,0.9583333333333334,0.9619047619047619
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,4,0.1,target_val,0.8928571428571429,0.9,0.8976982097186701
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,4,1.0,target_val,0.8571428571428571,0.8583333333333334,0.8633986928104574
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,4,10.0,target_val,0.8571428571428571,0.8583333333333334,0.8633986928104574
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,0,0.1,target_val,0.9285714285714286,0.9249999999999999,0.9285714285714285
