sample_id,nominal_duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
acetone_51,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.945,126.945,237,20,245,502
acetone_52,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_53,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_54,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_55,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_56,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.163,237,237,237,711
acetone_57,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_58,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_59,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_60,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_61,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_62,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
acetone_63,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
acetone_64,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_65,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_66,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
acetone_67,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_68,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_69,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.171,237,237,237,711
acetone_70,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
acetone_71,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_72,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
acetone_73,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_74,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.181,237,237,237,711
acetone_75,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_76,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_77,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_78,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_79,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_80,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
acetone_81,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_82,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_83,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_84,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
acetone_85,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_86,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_87,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_88,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
acetone_89,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_90,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_91,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
acetone_92,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.163,237,237,237,711
acetone_93,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
acetone_94,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
acetone_95,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.928,237,237,237,711
acetone_96,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
