sample_id,nominal_duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
air_47,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
air_48,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,159.125,159.125,237,237,155,629
air_49,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_50,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_51,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_52,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_53,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.914,237,237,237,711
air_54,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_55,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
air_56,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
air_57,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
air_58,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.201,237,237,237,711
air_59,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_60,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
air_61,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_62,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_63,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
air_64,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_65,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_66,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_67,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_68,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.927,237,237,237,711
air_69,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
air_70,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.171,237,237,237,711
air_71,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_72,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_1,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o1,181.903,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.903,237,237,237,711
alcohol_2,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o2,181.91,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
alcohol_3,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o3,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_4,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_o4,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_5,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_o5,182.183,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_6,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o6,182.182,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
alcohol_7,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o7,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_8,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o8,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_9,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
alcohol_o9,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_10,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_o10,182.164,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.164,237,237,237,711
alcohol_11,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o11,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_12,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o12,182.182,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
alcohol_13,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_14,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_15,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_16,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_17,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_18,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.199,237,237,237,711
alcohol_19,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
alcohol_20,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_21,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_22,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_23,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_24,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_25,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_26,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.945,237,237,237,711
alcohol_27,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.162,237,237,237,711
alcohol_28,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_29,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_30,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_31,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_32,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
alcohol_33,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_34,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_35,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_36,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_37,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_38,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.185,237,237,237,711
alcohol_39,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.013,132.013,237,40,245,522
alcohol_40,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,131.998,131.998,237,40,245,522
alcohol_41,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.013,132.013,237,40,245,522
alcohol_42,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.024,132.024,237,40,245,522
alcohol_43,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.026,132.026,237,40,245,522
alcohol_44,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.013,132.013,237,40,245,522
alcohol_45,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.013,132.013,237,40,245,522
alcohol_46,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.014,132.014,237,40,245,522
alcohol_47,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,131.76,131.76,237,40,244,521
alcohol_48,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,127.185,127.185,237,20,246,503
alcohol_49,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.945,126.945,237,20,245,502
alcohol_50,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,127.185,127.185,237,20,246,503
alcohol_51,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.933,126.933,237,20,245,502
alcohol_52,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
alcohol_53,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.18,237,237,237,711
alcohol_54,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_55,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
alcohol_56,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
alcohol_57,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_58,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_59,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_60,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_61,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_62,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_63,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_64,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_65,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
