feature_set,split,model,group,accuracy,balanced_accuracy,macro_f1
48D,S6,MK-MMD+CDAN+C-DANN,domain adaptation,0.9307317073170732,0.928921678217453,0.9310668304502924
48D,S7,MK-MMD+C-DANN,domain adaptation,0.921951219512195,0.9204709739921008,0.921189097713911
48D,S7,MK-MMD+CDAN+C-DANN,domain adaptation,0.937560975609756,0.9381175944556226,0.9382127380610916
54D,S1,MK-MMD+C-DANN,domain adaptation,0.86007326007326,0.8584876543209876,0.8612151332567388
54D,S1,MK-MMD+CDAN+C-DANN,domain adaptation,0.868131868131868,0.8652263374485596,0.8690986531076177
54D,S2,MK-MMD+C-DANN,domain adaptation,0.8739926739926739,0.8698816872427985,0.8740685965204135
54D,S2,MK-MMD+CDAN+C-DANN,domain adaptation,0.8967032967032967,0.8920524691358024,0.8960938027200541
54D,S3,MK-MMD+C-DANN,domain adaptation,0.8827838827838829,0.8800154320987655,0.8841728936853548
54D,S3,MK-MMD+CDAN+C-DANN,domain adaptation,0.8666666666666668,0.865380658436214,0.8699613256497642
54D,S4,MK-MMD+C-DANN,domain adaptation,0.9224489795918368,0.922491239248168,0.9234353594202072
54D,S4,MK-MMD+CDAN+C-DANN,domain adaptation,0.9044897959183672,0.9047467346288628,0.9065260950525292
54D,S5,MK-MMD+C-DANN,domain adaptation,0.917748917748918,0.9173734120594024,0.919959924311109
54D,S5,MK-MMD+CDAN+C-DANN,domain adaptation,0.922943722943723,0.9233136518160674,0.924606676816402
54D,S6,MK-MMD+C-DANN,domain adaptation,0.9453658536585364,0.9433638870258588,0.94527052531159
54D,S6,MK-MMD+CDAN+C-DANN,domain adaptation,0.942439024390244,0.941143155227662,0.9425913357673704
54D,S7,MK-MMD+C-DANN,domain adaptation,0.946341463414634,0.9452567255384156,0.9461819342077612
54D,S7,MK-MMD+CDAN+C-DANN,domain adaptation,0.9404878048780488,0.939145987033311,0.9412671138372448
48D,S1,MLPLR,MLPLR probe,0.6761904761904762,0.6729938271604938,0.6763145219519726
48D,S2,MLPLR,MLPLR probe,0.6783882783882784,0.6752057613168725,0.6762660006422919
48D,S3,MLPLR,MLPLR probe,0.6329670329670329,0.6339506172839505,0.6335941289455671
48D,S4,MLPLR,MLPLR probe,0.793469387755102,0.7958691727726451,0.7931896908466116
48D,S5,MLPLR,MLPLR probe,0.8528138528138527,0.8557881553050635,0.8546690950092776
48D,S6,MLPLR,MLPLR probe,0.9141463414634146,0.9145092778895596,0.9155758807147808
48D,S7,MLPLR,MLPLR probe,0.9287804878048782,0.9284745510097622,0.9299000361128208
54D,S1,MLPLR,MLPLR probe,0.7333333333333333,0.7382201646090535,0.7205455183338604
54D,S2,MLPLR,MLPLR probe,0.789010989010989,0.7906121399176954,0.7883950590525021
54D,S3,MLPLR,MLPLR probe,0.8014652014652015,0.8026748971193415,0.8039629389247935
54D,S4,MLPLR,MLPLR probe,0.8881632653061224,0.8906233407666985,0.8917751347123339
54D,S5,MLPLR,MLPLR probe,0.909090909090909,0.9107174807657898,0.9126606171395768
54D,S6,MLPLR,MLPLR probe,0.9639024390243902,0.964065876741933,0.9648363547017064
54D,S7,MLPLR,MLPLR probe,0.9590243902439024,0.9590133392950292,0.9600875185906552
