experiment,split,seed,parameter,parameter_value,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,alpha,beta,C,l1_ratio
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,2,,,,0.9615384615384616,0.9666666666666668,0.9665831244778612,1.0,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.0,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.25,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.5,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.75,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,,0.9615384615384616,0.9666666666666668,0.9665831244778612,1.0,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.0,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.25,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.5,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,,0.9230769230769232,0.9333333333333332,0.9234817813765184,0.75,,,
probability-ensemble,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,,0.9615384615384616,0.9666666666666668,0.9665831244778612,1.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,,0.95,0.9555555555555556,0.9553571428571428,0.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,,0.95,0.9555555555555556,0.9553571428571428,0.25,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,,0.95,0.9555555555555556,0.9553571428571428,0.5,,,
