experiment,split,seed,selected_alpha,selected_beta,selected_C,selected_l1_ratio,best_epoch,test_accuracy,test_balanced_accuracy,test_macro_f1
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,1.0,0.25,20,0.9142857142857143,0.9144632048423066,0.9169172764642771
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,2,,,1.0,0.25,20,0.9061224489795918,0.9060210258043964,0.9083189153340299
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,3,,,1.0,0.25,30,0.926530612244898,0.9260911118190508,0.9278142167031057
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,4,,,1.0,0.25,20,0.9142857142857143,0.9137729637888924,0.9163472974758822
elastic-net,SI2_train_I_D1_val_D2_3_test_D4plus,0,,,1.0,0.5,400,0.8917748917748918,0.8913938092682053,0.8947553947553949
elastic-net,SI2_train_I_D1_val_D2_3_test_D4plus,1,,,1.0,0.5,260,0.9307359307359307,0.92914653784219,0.9325304261526867
elastic-net,SI2_train_I_D1_val_D2_3_test_D4plus,2,,,1.0,0.5,380,0.8787878787878788,0.8797638217928073,0.8835918561434234
elastic-net,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,1.0,0.5,110,0.8961038961038961,0.8947933440687064,0.8989713601117874
elastic-net,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,1.0,0.5,30,0.8917748917748918,0.8928251923421006,0.8950475681205593
elastic-net,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,1.0,0.25,170,0.926829268292683,0.9254042775169536,0.9278669043374926
elastic-net,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,1.0,0.25,50,0.9463414634146341,0.9453759594604665,0.9468915815316384
elastic-net,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,1.0,0.25,60,0.9219512195121952,0.9201132722259483,0.9225108534898144
elastic-net,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,1.0,0.25,90,0.9365853658536586,0.93539011848871,0.9375259280764084
elastic-net,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,1.0,0.25,90,0.926829268292683,0.9260004471272077,0.9278324789795125
elastic-net,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,10.0,0.25,280,0.9463414634146341,0.9453759594604665,0.9469708504627045
elastic-net,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,10.0,0.25,170,0.9512195121951219,0.9506669647514717,0.9514662377437899
elastic-net,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,10.0,0.25,50,0.9365853658536586,0.9359862880989641,0.9376829247661101
elastic-net,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,10.0,0.25,120,0.9512195121951219,0.9494746255309635,0.9513787741761468
elastic-net,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,10.0,0.25,90,0.9414634146341463,0.9400849541694613,0.9419409391139361
