feature_set,split,mode,classifier_strategy,method,accuracy,accuracy_std,balanced_accuracy,macro_f1,seed_count,best_within_feature_split,best_overall_split
48D,S3_train_I_internal_20_10_test_all,uda,MLP Head,dann,0.6695970695970697,0.052407841660012944,0.6626286008230453,0.6564546586539283,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,MLP Head,deep-coral,0.7230769230769231,0.050130985427466766,0.7155092592592592,0.7155327847664942,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,MLP Head,mk-mmd,0.712087912087912,0.09232658682139584,0.7044495884773662,0.7011535414485193,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,MLP Head,source-only,0.608058608058608,0.10021512102787149,0.6057098765432098,0.6070537312898495,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,c-dann,0.7347985347985347,0.055708975189611286,0.7313786008230452,0.7320915409934295,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,cdan,0.6776556776556777,0.09124482569290217,0.6760545267489712,0.680365557513539,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,cdan+c-dann,0.7589743589743589,0.06716394657691674,0.7550668724279836,0.7575156988083608,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,dann,0.6681318681318681,0.06606620864847237,0.6622685185185185,0.665945639053386,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,deep-coral,0.7069597069597069,0.05739355170693188,0.7026748971193415,0.7057998732815737,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,mk-mmd,0.7274725274725274,0.0987857148120372,0.7213477366255144,0.7223059766801675,5,False,False
48D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,source-only,0.6329670329670329,0.12036186365806226,0.6339506172839506,0.6335941289455671,5,False,False
48D,S4_train_I_val_D1_2,semi,End-to-end LR,c-dann,0.9142857142857144,0.018253616142855388,0.9125305298927472,0.9143705646408075,5,True,False
48D,S4_train_I_val_D1_2,semi,End-to-end LR,cdan,0.8400000000000001,0.055320805340668994,0.8353615801210577,0.8390156040852734,5,False,False
48D,S4_train_I_val_D1_2,semi,End-to-end LR,cdan+c-dann,0.8726530612244897,0.027441202145259747,0.8718912604863546,0.8749079883711568,5,False,False
48D,S4_train_I_val_D1_2,semi,End-to-end LR,dann,0.8555102040816326,0.029517852623289022,0.8524370818732081,0.854822581075209,5,False,False
48D,S4_train_I_val_D1_2,semi,End-to-end LR,deep-coral,0.889795918367347,0.016579670213542824,0.8883083784644791,0.8903980019320497,5,False,False
