family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,source-only,opensource-core,bottleneck16,linear,3,source-only:bottleneck16:linear,54,300.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\source-only\seed_3.pt,"[[66, 15, 0], [3, 93, 0], [7, 38, 51]]",1.0,1.0,1.0,0.7692307692307693,0.7716049382716049,0.7677456411843044
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,source-only,opensource-core,bottleneck16,linear,4,source-only:bottleneck16:linear,54,40.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\source-only\seed_4.pt,"[[66, 15, 0], [3, 92, 1], [7, 28, 61]]",1.0,1.0,1.0,0.8021978021978022,0.8028549382716049,0.8031510088270549
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,dann,opensource-core,bottleneck16,linear,0,dann:bottleneck16:linear,54,240.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\dann\seed_0.pt,"[[70, 10, 1], [0, 90, 6], [0, 12, 84]]",1.0,1.0,1.0,0.8937728937728938,0.8922325102880658,0.8969775517301812
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,dann,opensource-core,bottleneck16,linear,1,dann:bottleneck16:linear,54,50.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\dann\seed_1.pt,"[[69, 9, 3], [2, 91, 3], [14, 12, 70]]",1.0,1.0,1.0,0.8424908424908425,0.8429783950617283,0.8400929298589709
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,dann,opensource-core,bottleneck16,linear,2,dann:bottleneck16:linear,54,160.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\dann\seed_2.pt,"[[60, 19, 2], [0, 94, 2], [0, 21, 75]]",1.0,1.0,1.0,0.8388278388278388,0.8337191358024691,0.8418659970926391
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,dann,opensource-core,bottleneck16,linear,3,dann:bottleneck16:linear,54,80.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\dann\seed_3.pt,"[[71, 6, 4], [1, 94, 1], [0, 16, 80]]",0.9333333333333332,0.9166666666666666,0.9295631904327556,0.8974358974358975,0.8963477366255144,0.8996249761820246
domain-adaptation,54D,S2_train_I_internal_val_test_all,uda,dann,opensource-core,bottleneck16,linear,4,dann:bottleneck16:linear,54,100.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S2_train_I_internal_val_test_all\bottleneck16\linear\dann\seed_4.pt,"[[56, 19, 6], [1, 94, 1], [5, 18, 73]]",1.0,1.0,1.0,0.8168498168498168,0.8103137860082303,0.8136520234537855
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,source-only,opensource-core,bottleneck16,linear,0,source-only:bottleneck16:linear,54,80.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\source-only\seed_0.pt,"[[69, 11, 1], [1, 95, 0], [17, 21, 58]]",1.0,1.0,1.0,0.8131868131868132,0.8152006172839505,0.8072778684741654
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,source-only,opensource-core,bottleneck16,linear,1,source-only:bottleneck16:linear,54,350.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\source-only\seed_1.pt,"[[73, 8, 0], [1, 94, 1], [11, 24, 61]]",1.0,1.0,1.0,0.8351648351648352,0.8386059670781892,0.8328389392900603
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,source-only,opensource-core,bottleneck16,linear,2,source-only:bottleneck16:linear,54,20.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\source-only\seed_2.pt,"[[69, 12, 0], [5, 91, 0], [14, 25, 57]]",1.0,1.0,1.0,0.7948717948717948,0.7978395061728395,0.7913886955176549
