family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
domain-adaptation,48D,S4_train_I_val_D1_2,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9862068965517242,0.9482758620689656,1.0,0.022480008293802183,0.8685714285714287,0.8367346938775511,0.9142857142857144,0.0284838307303966,0.8673250504406924,0.8277052139747266,0.9137729637888924,0.030906518922633814,0.8699446799518175,0.8359338201629134,0.9166863672182822,0.029308804799554857
classical-ml,48D,S5_train_I_D1_val_D2_3,logistic-regression,classical-ml,raw,logistic-regression,-1,0.9722222222222222,0.9722222222222222,0.9722222222222222,,0.9523809523809524,0.9523809523809524,0.9523809523809524,,0.9525854356772232,0.9525854356772232,0.9525854356772232,,0.9540819702669412,0.9540819702669412,0.9540819702669412,
classical-ml,48D,S5_train_I_D1_val_D2_3,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8727272727272727,0.8354978354978355,0.8961038961038961,0.022410699749861082,0.8721417069243156,0.8350331007335838,0.8947933440687064,0.0221985549188898,0.8752107849745606,0.8380418192918192,0.8997198279161628,0.022602108362399006
domain-adaptation,48D,S5_train_I_D1_val_D2_3,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9944444444444445,0.9722222222222222,1.0,0.012422599874998837,0.8787878787878789,0.8528138528138528,0.9004329004329005,0.017584498711333267,0.8811952048667026,0.8565038468420111,0.8996242619431025,0.016506060340532657,0.8788593403681153,0.8524696250071585,0.9006465067778936,0.01765405869210188
domain-adaptation,48D,S5_train_I_D1_val_D2_3,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9916666666666668,0.9722222222222222,1.0,0.01242259987499883,0.9220779220779223,0.9047619047619048,0.9523809523809524,0.019600400731899163,0.920629808552514,0.9008767221327608,0.9518697441402756,0.020479676213647904,0.9224077259268041,0.9048181475101056,0.9529821539289216,0.019777119653952714
domain-adaptation,48D,S5_train_I_D1_val_D2_3,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9777777777777779,0.9444444444444444,1.0,0.025230419617479103,0.9160173160173161,0.8917748917748918,0.935064935064935,0.022200660441485862,0.9152979066022544,0.8913938092682053,0.9332617641796386,0.021594368863750175,0.9173765933835536,0.8950080241829345,0.9355699222100484,0.020469419638363642
domain-adaptation,48D,S5_train_I_D1_val_D2_3,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9694444444444444,0.9444444444444444,1.0,0.02060055135304351,0.9108225108225108,0.8961038961038961,0.9393939393939394,0.01665401217460725,0.9103596349973161,0.895509035605654,0.9402397566648776,0.017256553331443228,0.9117675457806845,0.8991281148344831,0.940558272635268,0.016494357274083028
domain-adaptation,48D,S5_train_I_D1_val_D2_3,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9694444444444444,0.9027777777777778,1.0,0.044357553951864755,0.8987012987012987,0.8441558441558441,0.9177489177489178,0.031006068535878794,0.8992664161746289,0.8461263195562713,0.918947933440687,0.030478136059823743,0.8998412580451264,0.8465841213351736,0.9200400329683268,0.0305153656291776
domain-adaptation,48D,S5_train_I_D1_val_D2_3,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9888888888888889,0.9583333333333334,1.0,0.01810889557000734,0.8623376623376624,0.8225108225108225,0.9090909090909092,0.03948659480862819,0.8654142064770083,0.8219717301842905,0.9100017892288422,0.03866523114377569,0.8632791218048486,0.8272965879265092,0.910039810443344,0.038779057765320334
domain-adaptation,48D,S5_train_I_D1_val_D2_3,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.961111111111111,0.8611111111111112,1.0,0.058432455466562845,0.8805194805194805,0.8441558441558441,0.922077922077922,0.034981998010107276,0.8819824655573447,0.8468420110932188,0.9230631597781356,0.03291466273230719,0.8820255100215277,0.8489217487085291,0.92335832083958,0.03375506742540407
domain-adaptation,48D,S5_train_I_D1_val_D2_3,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.986111111111111,0.9583333333333334,1.0,0.01964185503295964,0.9238095238095237,0.9047619047619048,0.9437229437229436,0.01389333899210491,0.9237072821613884,0.9066022544283412,0.9429235999284308,0.012959625479530433,0.9247351973639925,0.9075396247277726,0.9440422322775264,0.013023963379786703
domain-adaptation,48D,S5_train_I_D1_val_D2_3,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.986111111111111,0.9583333333333334,1.0,0.01701034543599428,0.8961038961038963,0.8484848484848485,0.9307359307359307,0.03076335585184393,0.8947933440687063,0.8473787797459295,0.9312936124530328,0.03158204316504776,0.8979416152835593,0.8520054945526073,0.93073115075918,0.029777596791151714
domain-adaptation,48D,S5_train_I_D1_val_D2_3,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9888888888888889,0.9444444444444444,1.0,0.024845199749997673,0.90995670995671,0.8874458874458875,0.948051948051948,0.022783891544486155,0.9109679728037217,0.8872785829307568,0.947754517802827,0.02256223955253721,0.9117366866556578,0.891721222040371,0.9489441930618402,0.021979564110326182
classical-ml,48D,S6_train_I_D1_2_val_D3_5,logistic-regression,classical-ml,raw,logistic-regression,-1,0.9285714285714286,0.9285714285714286,0.9285714285714286,,0.9609756097560976,0.9609756097560976,0.9609756097560976,,0.9618451449437364,0.9618451449437364,0.9618451449437364,,0.96176508883444,0.96176508883444,0.96176508883444,
classical-ml,48D,S6_train_I_D1_2_val_D3_5,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9375609756097563,0.926829268292683,0.951219512195122,0.009383114176425055,0.9356136820925555,0.9248081079066997,0.9494746255309636,0.009594586577339886,0.9378966598148601,0.927027714213069,0.9517416730231376,0.009564639602866291
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9959183673469386,0.9897959183673468,1.0,0.005589005688828293,0.9395121951219514,0.9317073170731708,0.9414634146341464,0.004363059468292276,0.9397570608838215,0.9306952828079588,0.9424696326104778,0.005072261355238286,0.9402918294102642,0.9325356857983024,0.9424836084478272,0.004343215624991508
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9897959183673469,0.979591836734694,1.0,0.010204081632653017,0.9482926829268292,0.926829268292683,0.9658536585365852,0.017452237873169,0.9483269990312244,0.927192786347716,0.9665399806244878,0.017909415355386673,0.9486881910501316,0.927924156611672,0.9666705287143244,0.01736854479650994
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9857142857142858,0.979591836734694,1.0,0.009126808071427656,0.9385365853658536,0.902439024390244,0.9560975609756096,0.02143012940145239,0.9375065206051122,0.8989492510619271,0.9559579700424772,0.02271067079166,0.9387441023199232,0.9020063231033696,0.9564831985269944,0.02172595570541839
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9775510204081632,0.9387755102040816,1.0,0.03095051201653695,0.9453658536585365,0.9414634146341464,0.9560975609756096,0.006360197468490292,0.9455100976227737,0.9406811237797154,0.9559579700424772,0.006162186927637944,0.9458539818995476,0.9415665190807506,0.9564831985269944,0.006253016688983314
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9897959183673469,0.9693877551020408,1.0,0.014430750636460151,0.9336585365853658,0.9073170731707316,0.9560975609756096,0.022513133188710878,0.9334078545346151,0.9054325955734406,0.9565541396527312,0.023438226922791846,0.9338886275272109,0.9086566005482806,0.9559704875100724,0.022387053581973917
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9938775510204081,0.9693877551020408,1.0,0.013690212107141584,0.9102439024390243,0.8829268292682927,0.9560975609756096,0.02979206143337061,0.9107534093449587,0.8855354348312096,0.9565541396527312,0.02914201099285733,0.9115709692735259,0.8849870930973213,0.9562977421939904,0.028850617812175728
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9938775510204081,0.979591836734694,1.0,0.009126808071427692,0.9395121951219512,0.9219512195121952,0.9560975609756096,0.012243805266352261,0.9395185930397197,0.9207094418362024,0.9565541396527312,0.012840653889526129,0.9405027279621476,0.9222039968937702,0.9566940890470302,0.012382618380276758
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9795918367346939,0.9591836734693876,1.0,0.016134069694736665,0.9239024390243904,0.8292682926829268,0.9609756097560976,0.05589571321221943,0.9213950368879946,0.8213726805276101,0.9606528057232282,0.05905210177407794,0.9239435639353569,0.8271746592134942,0.9615674580611469,0.05698214237532338
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9816326530612244,0.9591836734693876,1.0,0.016767017066484705,0.9317073170731707,0.8878048780487805,0.975609756097561,0.0374690036481395,0.930099113197705,0.8836724047991654,0.975333482375736,0.039248485123195155,0.9319906548595057,0.8880483870446337,0.9760915428289364,0.03759678391790636
domain-adaptation,48D,S6_train_I_D1_2_val_D3_5,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9918367346938775,0.9591836734693876,1.0,0.018253616142855495,0.9170731707317072,0.8829268292682927,0.9658536585365852,0.030658061195064677,0.9151799687010955,0.8795737387286682,0.9659438110142337,0.03198502567909641,0.9175143093004582,0.8835029735412877,0.966005291005291,0.03042014707973426
classical-ml,48D,S7_train_I_D1_3_val_D4_5,logistic-regression,classical-ml,raw,logistic-regression,-1,0.979591836734694,0.979591836734694,0.979591836734694,,0.9804878048780488,0.9804878048780488,0.9804878048780488,,0.9812206572769954,0.9812206572769954,0.9812206572769954,,0.9812057441598836,0.9812057441598836,0.9812057441598836,
classical-ml,48D,S7_train_I_D1_3_val_D4_5,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9375609756097563,0.926829268292683,0.951219512195122,0.009383114176425055,0.9356136820925555,0.9248081079066997,0.9494746255309636,0.009594586577339886,0.9378966598148601,0.927027714213069,0.9517416730231376,0.009564639602866291
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9258536585365853,0.8975609756097561,0.946341463414634,0.018381896274552903,0.9251807139131081,0.8978314330427007,0.9459721290707206,0.017775923147721886,0.9261210304933207,0.8964595366570401,0.9464932227924728,0.018862759746858537
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9816326530612244,0.9693877551020408,0.9897959183673468,0.008537347209531325,0.9590243902439022,0.9560975609756096,0.9658536585365852,0.0043630594682923015,0.9590133392950294,0.9547656308219687,0.9659438110142337,0.004579265666811967,0.959179938874702,0.9560885181323138,0.9661317907906845,0.00450238196971033
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9836734693877551,0.9591836734693876,1.0,0.015475256008268502,0.937560975609756,0.9170731707317074,0.951219512195122,0.01668549402584103,0.9370444891571653,0.9166107757657054,0.9506669647514716,0.015827941769414506,0.9384310805939066,0.9187015170621728,0.9520621921547684,0.016296254699772788
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9938775510204081,0.979591836734694,1.0,0.009126808071427692,0.9414634146341463,0.9317073170731708,0.9560975609756096,0.009125993626277825,0.9404426559356136,0.9289067739771966,0.9565541396527312,0.010105992627989845,0.9419469847352872,0.931786546377556,0.9564463501156446,0.009181822248981118
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9714285714285715,0.9489795918367347,0.9897959183673468,0.016767017066484674,0.9502439024390243,0.926829268292683,0.975609756097561,0.021094388595550826,0.949370295849169,0.9260004471272076,0.97592965198599,0.021669184134020046,0.9504949717100842,0.9269019925837704,0.975914738868878,0.02112441441531641
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9938775510204081,0.9897959183673468,1.0,0.005589005688828293,0.918048780487805,0.8975609756097561,0.9317073170731708,0.014388176784148917,0.9176689768239064,0.899023772263209,0.9324837916387212,0.014259218555775104,0.9189905226324638,0.8965996965996966,0.9336917562724016,0.015507598301394497
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9816326530612246,0.9693877551020408,1.0,0.01117801137765645,0.96,0.9317073170731708,0.9804878048780488,0.01838189627455293,0.959713838587078,0.9289067739771966,0.9806244876667412,0.019535331736822627,0.9602903835267549,0.9312916760797466,0.9806878306878308,0.018725427791444448
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9877551020408163,0.9693877551020408,1.0,0.013304494704495193,0.9541463414634146,0.9365853658536586,0.975609756097561,0.01778983661347361,0.9541992696922275,0.93539011848871,0.97592965198599,0.01817604027909777,0.9548342701875809,0.9374582768522162,0.976020497231115,0.017583217307288585
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9795918367346939,0.9591836734693876,1.0,0.019090088708030365,0.9395121951219512,0.9219512195121952,0.9560975609756096,0.01487604944583108,0.939399359117669,0.9236902898874731,0.9565541396527312,0.014366887486885487,0.94000172625805,0.923045126170126,0.956117595855357,0.01434392473524249
domain-adaptation,48D,S7_train_I_D1_3_val_D4_5,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9755102040816327,0.9489795918367347,0.9897959183673468,0.017074694419062703,0.944390243902439,0.902439024390244,0.9658536585365852,0.0250163539608937,0.942782621655861,0.8977569118414189,0.9665399806244878,0.02694626254065917,0.9445125965009314,0.9019200956010596,0.9662619039933276,0.02529437249835702
domain-adaptation,54D,S1_train_I_test_all,c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8937728937728938,0.8461538461538461,0.9267399267399268,0.0308650174841625,0.8878600823045268,0.8374485596707819,0.9228395061728396,0.03213515594253855,0.8925486874857684,0.8447969600096679,0.9262974881947692,0.03063683116580168
domain-adaptation,54D,S1_train_I_test_all,cdan+c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8849816849816851,0.8571428571428571,0.9267399267399268,0.028562034710062915,0.8805555555555555,0.8542952674897119,0.9234825102880658,0.029147653857806228,0.8853671265977006,0.8598479812081727,0.926598853806644,0.02797226334646795
domain-adaptation,54D,S1_train_I_test_all,mk-mmd+lc,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.9098901098901099,0.8901098901098901,0.945054945054945,0.02465394676991038,0.9069958847736626,0.8849022633744856,0.942772633744856,0.0256208537950128,0.9100601033893847,0.8896021173550633,0.9447728295096716,0.024137077721542315
domain-adaptation,54D,S1_train_I_test_all,mk-mmd+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9866666666666667,0.9333333333333332,1.0,0.02981423969999724,0.87985347985348,0.8534798534798534,0.9010989010989012,0.02278729819047007,0.8763374485596709,0.8517232510288065,0.898533950617284,0.02261265472470283,0.8807272607835113,0.8563024198032833,0.9028747682791148,0.021743806821441544
domain-adaptation,54D,S1_train_I_test_all,mk-mmd+lc+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8820512820512821,0.7985347985347986,0.9304029304029304,0.05058394533612905,0.8790637860082304,0.7929526748971193,0.926954732510288,0.05226548509132998,0.8825063839999295,0.7967690429228891,0.9302373581011352,0.05168510273712462
domain-adaptation,54D,S1_train_I_test_all,c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9866666666666667,0.9666666666666668,1.0,0.018257418583505474,0.8410256410256409,0.8168498168498168,0.8791208791208791,0.023823608119427256,0.8408179012345679,0.8206018518518517,0.8770576131687243,0.022130815463652767,0.8447211305294455,0.8223036819811013,0.8815116888265863,0.022891168913105997
domain-adaptation,54D,S1_train_I_test_all,cdan+c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9800000000000001,0.9333333333333332,1.0,0.02981423969999722,0.8307692307692308,0.7216117216117216,0.9047619047619048,0.06980881611470532,0.8309670781893004,0.7258230452674898,0.9026491769547323,0.06710675104435315,0.8302135184126916,0.716442584585275,0.9060386174966604,0.07263084116374141
domain-adaptation,54D,S1_train_I_test_all,mk-mmd+lc,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8908424908424909,0.8681318681318682,0.9157509157509156,0.02029581710944329,0.8906121399176955,0.867283950617284,0.9169238683127572,0.021580927096745074,0.8929180275725532,0.87037148897614,0.9168924130184912,0.0198365719651499
domain-adaptation,54D,S1_train_I_test_all,mk-mmd+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8857142857142858,0.8571428571428571,0.9157509157509156,0.020785730343019903,0.8825360082304525,0.8549382716049383,0.9117798353909464,0.020392579251881274,0.8871306809353634,0.8604053970094495,0.91523289851752,0.019699311284044774
domain-adaptation,54D,S1_train_I_test_all,mk-mmd+lc+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8695970695970695,0.8241758241758241,0.8937728937728938,0.026490380559362,0.8672582304526749,0.8217592592592592,0.8935185185185185,0.026917599214153765,0.8713292344756643,0.8287221359965811,0.896055927006131,0.025170212323214373
domain-adaptation,54D,S2_train_I_internal_val_test_all,c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8725274725274726,0.8351648351648352,0.9010989010989012,0.03133955990653106,0.8695216049382715,0.8334619341563787,0.8978909465020576,0.029911871385254207,0.8743101215758259,0.8369282074144005,0.900363617474417,0.029822764547784358
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan+c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.887912087912088,0.8681318681318682,0.9047619047619048,0.014560151585605707,0.8859053497942387,0.8621399176954733,0.9020061728395062,0.015866808946782666,0.8899551740171487,0.8663563697101723,0.9061029218800936,0.01568144994126039
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd+lc,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.904029304029304,0.8864468864468864,0.9267399267399268,0.017832470981154713,0.9005401234567902,0.8801440329218106,0.9247685185185186,0.018741689380773564,0.9042847122474118,0.884405632516589,0.9268635468092756,0.01795225999355807
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8827838827838826,0.8424908424908425,0.9267399267399268,0.030316749738547352,0.8801440329218106,0.8416923868312757,0.9228395061728396,0.029082415776165733,0.8838721919154814,0.8457162992046712,0.9261162921841836,0.028967664560112037
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd+lc+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8989010989010989,0.8827838827838828,0.912087912087912,0.013105160307691025,0.8965792181069959,0.8798868312757202,0.911522633744856,0.013862190464579607,0.9004454681822726,0.8855421355421355,0.9143646046264596,0.01334335507107711
domain-adaptation,54D,S2_train_I_internal_val_test_all,c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8864468864468865,0.8571428571428571,0.9194139194139194,0.029645446989448022,0.8851594650205762,0.856224279835391,0.9191100823045268,0.03055643236676876,0.887307229507875,0.8548620166504316,0.919410891277899,0.029586693641960125
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan+c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8893772893772892,0.8461538461538461,0.9194139194139194,0.029120303171211406,0.886522633744856,0.8432355967078188,0.9133230452674898,0.028130471030096818,0.8888857663204076,0.850176053571313,0.9172630546774382,0.02692960036233383
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd+lc,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9866666666666667,0.9666666666666668,1.0,0.018257418583505474,0.8820512820512821,0.8351648351648352,0.934065934065934,0.03545742136360453,0.8797067901234568,0.8353909465020576,0.9310699588477368,0.03474752831065563,0.8832761346584584,0.838368558193399,0.9333563044344934,0.03405481043039485
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.887912087912088,0.8424908424908425,0.9523809523809524,0.040008988779232695,0.884619341563786,0.8371913580246914,0.9535751028806584,0.042454187843384915,0.8880303732731176,0.8429323707350612,0.9524297917451684,0.03982118398310707
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd+lc+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9128205128205129,0.8974358974358975,0.9304029304029304,0.012794321755731116,0.9105452674897119,0.8950617283950617,0.9288837448559673,0.013385795214272297,0.9131644239161938,0.8984662810749766,0.930346194827274,0.012398769332182326
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9800000000000001,0.9,1.0,0.04472135954999578,0.8659340659340659,0.8351648351648352,0.8901098901098901,0.02438030958577834,0.8645576131687243,0.836033950617284,0.8861882716049383,0.024059767103089724,0.868520426904355,0.8405772005772004,0.8910325685527917,0.023160391672677458
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan+c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8937728937728938,0.8644688644688645,0.9157509157509156,0.019208953263189537,0.892361111111111,0.8670267489711935,0.9117798353909464,0.016843762504448603,0.895666772405605,0.8686457333516158,0.9141508593819574,0.01724260737437389
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd+lc,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8945054945054945,0.8461538461538461,0.9267399267399268,0.030027694552262577,0.8911265432098766,0.8432355967078188,0.9228395061728396,0.02962017841768814,0.8957097958048245,0.8489532890182091,0.9264062848074172,0.028864801868166444
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9866666666666667,0.9666666666666668,1.0,0.018257418583505474,0.9025641025641026,0.8827838827838828,0.9230769230769232,0.015454229384416877,0.9003086419753087,0.8792438271604938,0.9212962962962964,0.016372102041775388,0.9025621771495672,0.8819839032804895,0.921885603273082,0.01600724160797474
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd+lc+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8791208791208792,0.8608058608058609,0.8864468864468864,0.010679399074808206,0.8777006172839507,0.8584104938271605,0.8872170781893004,0.011358809199177061,0.8804524982246397,0.862606137274069,0.8872525276444291,0.010267728221532966
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8673992673992675,0.8058608058608059,0.912087912087912,0.03853995146538496,0.8660751028806585,0.8069701646090536,0.9083076131687244,0.03683606650768522,0.8680397823970096,0.806063886931419,0.9107667646273044,0.03826975346577497
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan+c-dann,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8608058608058607,0.8424908424908425,0.8717948717948718,0.010989010989010997,0.85815329218107,0.838477366255144,0.8656121399176956,0.011111885070590508,0.8630792525379747,0.8462505986891675,0.8731104429183097,0.010030571603947309
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd+lc,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9533333333333334,0.8,1.0,0.08692269873603531,0.8483516483516483,0.7472527472527473,0.8827838827838828,0.05678246453962115,0.8502057613168723,0.7546296296296297,0.8818158436213991,0.05367674188286309,0.8496922561448372,0.7467211174674668,0.8828562317427533,0.05775239718713937
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8791208791208792,0.8388278388278388,0.9157509157509156,0.03541955971760746,0.877829218106996,0.8356481481481483,0.9149948559670782,0.03382201646090531,0.8799702694345344,0.8410360330432086,0.9166219677954608,0.033748808661077274
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd+lc+cdan,project-extension,bottleneck16,mlp,"0,1,2,3,4",0.9800000000000001,0.9333333333333332,1.0,0.02981423969999722,0.8901098901098902,0.8461538461538461,0.9267399267399268,0.03266035622733882,0.888888888888889,0.8515946502057613,0.9273405349794238,0.030732771664510942,0.8915418172079628,0.8482167664368164,0.9276727659336356,0.0317368673670733
domain-adaptation,54D,S4_train_I_val_D1_2,c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9248979591836735,0.8816326530612245,0.9428571428571428,0.024928051403432582,0.9242646278007858,0.882765211850908,0.9422852288414568,0.02415299834810533,0.9269484050322105,0.8861313730229825,0.9446355320083348,0.02372601625456363
domain-adaptation,54D,S4_train_I_val_D1_2,cdan+c-dann,project-extension,bottleneck16,linear,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.9183673469387756,0.9020408163265308,0.9387755102040816,0.013226001425322082,0.9191674630986514,0.9028352978655624,0.939099500902623,0.013042833861639645,0.9199980673509447,0.9025338997647144,0.9401448822180528,0.013414360274762272
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd+lc,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9240816326530611,0.889795918367347,0.946938775510204,0.02476040961322951,0.9236274822130192,0.8905171498354041,0.946161197833705,0.02405724436277345,0.9260383508287138,0.8928104686014509,0.9484359948805804,0.023893127776180266
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd+cdan,project-extension,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9199999999999999,0.889795918367347,0.946938775510204,0.0226521419192026,0.9183710311139428,0.8843049803546776,0.946161197833705,0.02427446066879816,0.921005279762222,0.88997668997669,0.9474594639559504,0.022955964277872734
