family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,2,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_2.pt,"[[66, 15, 0], [2, 91, 3], [2, 14, 80]]",1.0,1.0,1.0,0.8681318681318682,0.8653549382716049,0.8702065088754694
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,3,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_3.pt,"[[67, 14, 0], [1, 95, 0], [3, 12, 81]]",1.0,1.0,1.0,0.8901098901098901,0.8868312757201645,0.890803073840972
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,linear,4,dann:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\dann\seed_4.pt,"[[67, 14, 0], [0, 95, 1], [1, 10, 85]]",1.0,1.0,1.0,0.9047619047619048,0.9007201646090536,0.9057052411196316
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,linear,0,deep-coral:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\deep-coral\seed_0.pt,"[[70, 10, 1], [1, 94, 1], [1, 5, 90]]",1.0,1.0,1.0,0.9304029304029304,0.926954732510288,0.9298508863269692
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,linear,1,deep-coral:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\deep-coral\seed_1.pt,"[[69, 12, 0], [1, 94, 1], [0, 8, 88]]",1.0,1.0,1.0,0.9194139194139194,0.9158950617283952,0.9201655771192196
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,linear,2,deep-coral:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\deep-coral\seed_2.pt,"[[67, 14, 0], [1, 94, 1], [1, 12, 83]]",1.0,1.0,1.0,0.8937728937728938,0.8903034979423868,0.8953086419753088
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,linear,3,deep-coral:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\deep-coral\seed_3.pt,"[[67, 14, 0], [1, 92, 3], [2, 11, 83]]",1.0,1.0,1.0,0.8864468864468864,0.8833590534979424,0.8877849652963915
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,linear,4,deep-coral:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\deep-coral\seed_4.pt,"[[68, 13, 0], [1, 95, 0], [1, 10, 85]]",1.0,1.0,1.0,0.9084249084249084,0.904835390946502,0.9092464127607884
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,linear,0,mk-mmd:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\mk-mmd\seed_0.pt,"[[69, 9, 3], [2, 91, 3], [2, 11, 83]]",1.0,1.0,1.0,0.8901098901098901,0.8881172839506174,0.89087608218043
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,linear,1,mk-mmd:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\mk-mmd\seed_1.pt,"[[67, 14, 0], [4, 91, 1], [1, 6, 89]]",1.0,1.0,1.0,0.9047619047619048,0.9007201646090536,0.9040110979719924
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,linear,2,mk-mmd:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\mk-mmd\seed_2.pt,"[[70, 10, 1], [3, 91, 2], [4, 8, 84]]",1.0,1.0,1.0,0.8974358974358975,0.8957047325102879,0.8973045381003716
