family,feature_set,split,method,method_family,representation,head,seed_count,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.7047619047619047,0.08143904236500212,0.5787545787545788,0.7985347985347986,0.7025205761316873,0.07815409647168592,0.582690329218107,0.794238683127572,0.7076109064034826,0.07725601844762249,0.5890806185399234,0.7982092913443027
classical-ml,48D,S4_train_I_val_D1_2,logistic-regression,classical-ml,raw,logistic-regression,1,-1,1.0,,1.0,1.0,0.8775510204081632,,0.8775510204081632,0.8775510204081632,0.8775087607518318,,0.8775087607518318,0.8775087607518318,0.8820899597297114,,0.8820899597297114,0.8820899597297114
classical-ml,48D,S4_train_I_val_D1_2,mlp,classical-ml,raw,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.8334693877551022,0.020691905070427046,0.8,0.8530612244897959,0.8327492832112137,0.01962073230936197,0.8011043856854624,0.8521822236381013,0.8368390650712214,0.02091091412158005,0.8024000458541111,0.8555107311378887
domain-adaptation,48D,S4_train_I_val_D1_2,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9965517241379309,0.007710579232757861,0.9827586206896552,1.0,0.8130612244897959,0.05606861982528971,0.7306122448979592,0.8816326530612245,0.8150260167781671,0.05334636482592172,0.7386641180843156,0.8813847297440799,0.8082389571267774,0.06639256130308303,0.7047276288018106,0.8832553330049927
domain-adaptation,48D,S4_train_I_val_D1_2,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.8555102040816326,0.029517852623289036,0.8081632653061225,0.8857142857142857,0.8524370818732081,0.028995797901418156,0.8060953594563024,0.8811192524158438,0.8548225810752091,0.029656095336527816,0.8078039744073898,0.8865601503759398
domain-adaptation,48D,S4_train_I_val_D1_2,deep-coral,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9862068965517242,0.030842316931031545,0.9310344827586208,1.0,0.889795918367347,0.01657967021354283,0.8775510204081632,0.9183673469387756,0.8883083784644791,0.017049126814345315,0.8781990018052458,0.9183391738345548,0.8903980019320497,0.017666730141062893,0.8792485591296906,0.9214561985131606
domain-adaptation,48D,S4_train_I_val_D1_2,mk-mmd,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.9036734693877552,0.027622733576634532,0.8612244897959184,0.9224489795918368,0.9013486248274397,0.028735587797181987,0.8557927153021132,0.9222151428268024,0.9034728111000142,0.02720060417071129,0.8613830613830613,0.9234616891796656
domain-adaptation,48D,S4_train_I_val_D1_2,cdan,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.993103448275862,0.009443492370778685,0.9827586206896552,1.0,0.8400000000000001,0.05532080534066898,0.7428571428571429,0.8775510204081632,0.8353615801210577,0.05458552677334009,0.7399384092598492,0.8740575554847615,0.8390156040852734,0.05382753738060674,0.7443114909781577,0.8755769849822951
domain-adaptation,48D,S4_train_I_val_D1_2,source-only,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9689655172413794,0.06939521309482106,0.8448275862068966,1.0,0.7844897959183674,0.07048354438558349,0.6938775510204082,0.8816326530612245,0.7888605713072103,0.06758089857693993,0.7079218434745673,0.8862164171179782,0.7752515979885318,0.0844314686505446,0.6549505387740682,0.8828850519417362
domain-adaptation,48D,S4_train_I_val_D1_2,dann,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9965517241379309,0.007710579232757861,0.9827586206896552,1.0,0.8587755102040816,0.03335970080277968,0.8040816326530612,0.889795918367347,0.8563661463311032,0.03367649547357398,0.8029096315174683,0.891897631942232,0.8585080901710495,0.03120183581023324,0.8089839247801031,0.8896037989380715
domain-adaptation,48D,S4_train_I_val_D1_2,deep-coral,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.889795918367347,0.020203050891044228,0.8734693877551021,0.9224489795918368,0.8874800892003822,0.01967910214398883,0.8701815864925136,0.9194541786131464,0.8903211670807558,0.019813894934651972,0.8745413007781823,0.9226921712093816
domain-adaptation,48D,S4_train_I_val_D1_2,mk-mmd,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.993103448275862,0.015421158465515774,0.9655172413793104,1.0,0.8906122448979593,0.042554813123194694,0.8367346938775511,0.9306122448979592,0.8872889455240521,0.04290161922498938,0.838058829775937,0.9258256344908146,0.889871925454908,0.04275060951211366,0.8422222222222223,0.9296616963283628
domain-adaptation,48D,S4_train_I_val_D1_2,cdan,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9862068965517242,0.022480008293802183,0.9482758620689656,1.0,0.8685714285714287,0.0284838307303966,0.8367346938775511,0.9142857142857144,0.8673250504406924,0.030906518922633814,0.8277052139747266,0.9137729637888924,0.8699446799518175,0.029308804799554857,0.8359338201629134,0.9166863672182822
classical-ml,48D,S5_train_I_D1_val_D2_3,logistic-regression,classical-ml,raw,logistic-regression,1,-1,0.9722222222222222,,0.9722222222222222,0.9722222222222222,0.9523809523809524,,0.9523809523809524,0.9523809523809524,0.9525854356772232,,0.9525854356772232,0.9525854356772232,0.9540819702669412,,0.9540819702669412,0.9540819702669412
classical-ml,48D,S5_train_I_D1_val_D2_3,mlp,classical-ml,raw,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.8727272727272727,0.022410699749861082,0.8354978354978355,0.8961038961038961,0.8721417069243156,0.0221985549188898,0.8350331007335838,0.8947933440687064,0.8752107849745606,0.022602108362399006,0.8380418192918192,0.8997198279161628
domain-adaptation,48D,S5_train_I_D1_val_D2_3,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9944444444444445,0.012422599874998837,0.9722222222222222,1.0,0.8787878787878789,0.017584498711333267,0.8528138528138528,0.9004329004329005,0.8811952048667026,0.016506060340532657,0.8565038468420111,0.8996242619431025,0.8788593403681153,0.01765405869210188,0.8524696250071585,0.9006465067778936
domain-adaptation,48D,S5_train_I_D1_val_D2_3,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9916666666666668,0.01242259987499883,0.9722222222222222,1.0,0.9220779220779223,0.019600400731899163,0.9047619047619048,0.9523809523809524,0.920629808552514,0.020479676213647904,0.9008767221327608,0.9518697441402756,0.9224077259268041,0.019777119653952714,0.9048181475101056,0.9529821539289216
domain-adaptation,48D,S5_train_I_D1_val_D2_3,deep-coral,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9777777777777779,0.025230419617479103,0.9444444444444444,1.0,0.9160173160173161,0.022200660441485862,0.8917748917748918,0.935064935064935,0.9152979066022544,0.021594368863750175,0.8913938092682053,0.9332617641796386,0.9173765933835536,0.020469419638363642,0.8950080241829345,0.9355699222100484
domain-adaptation,48D,S5_train_I_D1_val_D2_3,mk-mmd,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9694444444444444,0.02060055135304351,0.9444444444444444,1.0,0.9108225108225108,0.01665401217460725,0.8961038961038961,0.9393939393939394,0.9103596349973161,0.017256553331443228,0.895509035605654,0.9402397566648776,0.9117675457806845,0.016494357274083028,0.8991281148344831,0.940558272635268
domain-adaptation,48D,S5_train_I_D1_val_D2_3,cdan,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9694444444444444,0.044357553951864755,0.9027777777777778,1.0,0.8987012987012987,0.031006068535878794,0.8441558441558441,0.9177489177489178,0.8992664161746289,0.030478136059823743,0.8461263195562713,0.918947933440687,0.8998412580451264,0.0305153656291776,0.8465841213351736,0.9200400329683268
