feature_set,split,method,model,classifier_strategy,model_path,balanced_accuracy,balanced_accuracy_std,accuracy,macro_f1
54D,S6,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.941143155227662,0.0150827119012755,0.942439024390244,0.9425913357673704
54D,S7,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9452567255384156,0.0171556319073302,0.946341463414634,0.9461819342077612
54D,S7,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.939145987033311,0.0108366997767384,0.9404878048780488,0.9412671138372448
48D,S1,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7154063786008231,0.0656556637417561,0.7216117216117216,0.7197843050779158
48D,S1,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7068672839506174,0.0936007995810563,0.7135531135531135,0.7139194509111388
48D,S1,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6815329218106996,0.1009276677900345,0.6879120879120879,0.6901945331639425
48D,S1,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7548868312757203,0.0256585230993244,0.7619047619047619,0.7591867290398608
48D,S1,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6877057613168724,0.0555110037030263,0.6915750915750916,0.6931369962005881
48D,S1,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.736548353909465,0.049960269449342,0.7443223443223442,0.7405725468852047
48D,S1,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6729938271604938,0.0661031623379118,0.6761904761904762,0.6763145219519726
48D,S2,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7062242798353909,0.0440608077911618,0.7135531135531136,0.7105176392853191
48D,S2,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7029320987654322,0.1069487697117413,0.706959706959707,0.7107641543710277
