split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 1,1,acetone\acetone_5.csv,5.810041065970152,3.7205081736631307
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 2,2,acetone\acetone_10.csv,3.9273906598252104,-2.624349490902888
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 2,2,acetone\acetone_6.csv,1.2400230793340676,-1.8805519815068055
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 2,2,acetone\acetone_7.csv,3.5882223703562466,0.09679592960351309
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 2,2,acetone\acetone_8.csv,1.2464356369779634,-1.610600312553327
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 2,2,acetone\acetone_9.csv,3.9064301382733535,-2.950222498833457
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 1,1,air\air_1.csv,-3.29222267001407,-1.0518521928644224
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 1,1,air\air_2.csv,-3.975153796306326,1.9402718857710388
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 1,1,air\reference_1.csv,-4.224096537702237,0.9439732058777427
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 1,1,air\reference_2.csv,-3.8276946646566485,0.40535478424990384
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 1,1,air\reference_3.csv,-3.3899582974867966,3.463776802620737
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 1,1,air\reference_4.csv,-4.442834009140771,1.14042956522803
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 2,2,air\air_3.csv,-3.7663171873844075,-1.3123165960096268
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 2,2,air\air_4.csv,-2.931773333743074,-1.1480003638470273
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 1,1,alcohol\alcohol_1.csv,6.936776498030178,4.764743610994344
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 1,1,alcohol\alcohol_2.csv,5.257801964350056,4.188845536161126
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 1,1,alcohol\alcohol_3.csv,5.472516592065297,5.04949714355961
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 1,1,alcohol\alcohol_4.csv,2.6170957904282455,0.9019760678272369
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 1,1,alcohol\alcohol_5.csv,1.101539290438244,3.606266491324875
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 2,2,alcohol\alcohol_10.csv,4.507763440724822,0.8504021901245451
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 2,2,alcohol\alcohol_6.csv,3.878485292044564,0.7147643612397572
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 2,2,alcohol\alcohol_7.csv,-1.584211151719559,-1.6968724889602207
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 2,2,alcohol\alcohol_8.csv,0.8498769130346397,-1.6895141591104434
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 2,2,alcohol\alcohol_9.csv,1.1938939523531096,-2.081408445559672
