split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,coral_loss_last,total_loss_last,feature_extractor_objective,classifier_train_n,source_train_n,source_val_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,340,0.0003031402884516865,0.003136823885142803,0.0009305051062256098,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8498168498168498,1.0,1.0,0.8467078189300411,1.0,1.0,0.8485225443041821,0.1501831501831502
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,70,0.000354524003341794,0.0011610147776082158,0.0005867269355803728,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,0.8,0.8278388278388278,1.0,0.8333333333333334,0.8278034979423868,1.0,0.7777777777777777,0.8260939422869363,0.17216117216117222
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,2,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,110,0.03338293731212616,0.028576603159308434,0.039098259061574936,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8644688644688645,1.0,1.0,0.8631687242798355,1.0,1.0,0.8658920323718027,0.1355311355311355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,3,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,90,0.0002471162297297269,0.0025810953229665756,0.0007633352652192116,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8424908424908425,1.0,1.0,0.8416923868312757,1.0,1.0,0.8467664333827313,0.1575091575091575
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,4,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,120,0.0002747852704487741,0.0012848424958065152,0.000531753757968545,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,0.8,0.8644688644688645,1.0,0.8333333333333334,0.8612397119341564,1.0,0.7777777777777777,0.8632794886077293,0.1355311355311355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.0003937165893148631,0.0015030039940029383,0.0011452186154201627,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,0.88,0.8,0.684981684981685,0.9,0.8333333333333334,0.6956018518518517,0.8742690058479532,0.7777777777777777,0.6519979840161277,0.195018315018315
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,120,0.0005821302183903754,0.0012420197017490864,0.0012031400110572577,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8644688644688645,1.0,1.0,0.8605967078189299,1.0,1.0,0.863455928510764,0.1355311355311355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,2,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,100,0.0002391090674791485,0.001643311814405024,0.001060765003785491,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8681318681318682,1.0,1.0,0.867283950617284,1.0,1.0,0.8700275581116702,0.13186813186813184
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,3,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,80,0.00040055662975646555,0.001395265688188374,0.001098189502954483,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,1.0,0.8608058608058609,1.0,1.0,0.8590534979423868,1.0,1.0,0.8642097252263078,0.13919413919413914
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,4,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,70,0.00040453049587085843,0.0013243956491351128,0.001066728262230754,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",25,25,5,273,0,273,1.0,0.8,0.8461538461538461,1.0,0.8333333333333334,0.8445216049382717,1.0,0.7777777777777777,0.8443086069769273,0.15384615384615385
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,no target-domain adaptation loss,source validation labels,20,5.1682727644219995e-05,,5.1682727644219995e-05,min L using the same MLP source-only classification loss as DANN,20,20,10,273,0,273,0.95,0.7,0.6923076923076923,0.9583333333333334,0.6666666666666666,0.7051183127572016,0.9407407407407407,0.6518518518518519,0.6743946957187413,0.25769230769230766
