split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_last,backward_loss_scalar_last,feature_extractor_objective,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,3.459287836449221e-05,0.0,3.459287836449221e-05,min L - lambda*Ld via gradient reversal,3.459287836449221e-05,0.0,25,25,5,0,273,0,273,0.84,0.8,0.6886446886446886,0.8333333333333334,0.8333333333333334,0.6997170781893004,0.8231259968102074,0.7777777777777777,0.681325458489998,0.15135531135531133,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0014283779310062528,0.0,0.0014283779310062528,min L - lambda*Ld via gradient reversal,0.0014283779310062528,0.0,25,25,5,0,273,0,273,0.88,0.8,0.63003663003663,0.8666666666666667,0.8333333333333334,0.6422325102880658,0.8561808561808562,0.7777777777777777,0.615783524227547,0.24996336996336999,0.11073825503355705
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,5.0281138101127e-05,0.0,5.0281138101127e-05,min L - lambda*Ld via gradient reversal,5.0281138101127e-05,0.0,25,25,5,0,273,0,273,0.84,0.6,0.6227106227106227,0.8666666666666667,0.6666666666666666,0.6385030864197532,0.8306878306878307,0.611111111111111,0.5777552954901747,0.21728937728937725,0.62751677852349
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,3.090024256380275e-05,0.264722615480423,0.264753520488739,min L - lambda*Ld via gradient reversal,3.090024256380275e-05,0.264722615480423,25,25,5,0,273,0,273,0.88,0.8,0.6703296703296703,0.9,0.8333333333333334,0.6817129629629629,0.8742690058479532,0.7777777777777777,0.6479352956876906,0.20967032967032972,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,300,2.7033765945816413e-05,0.24191586673259735,0.241942897439003,min L - lambda*Ld via gradient reversal,2.7033765945816413e-05,0.24191586673259735,25,25,5,0,273,0,273,1.0,0.8,0.6996336996336996,1.0,0.8333333333333334,0.7049897119341564,1.0,0.7777777777777777,0.700163725163725,0.3003663003663004,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,4.568985241348855e-05,0.23119157552719116,0.2312372624874115,min L - lambda*Ld via gradient reversal,4.568985241348855e-05,0.23119157552719116,25,25,5,0,273,0,273,0.88,0.8,0.6813186813186813,0.9,0.8333333333333334,0.6934156378600823,0.8742690058479532,0.7777777777777777,0.6672588422342116,0.19868131868131866,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.00014357264444697648,0.24793168902397156,0.24807526171207428,min L - lambda*Ld via gradient reversal,0.00014357264444697648,0.24793168902397156,25,25,5,0,273,0,273,0.88,0.8,0.6373626373626373,0.8666666666666667,0.8333333333333334,0.648533950617284,0.8561808561808562,0.7777777777777777,0.6255289812801612,0.24263736263736269,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0002675557625479996,0.25036633014678955,0.2506338953971863,min L - lambda*Ld via gradient reversal,0.0002675557625479996,0.25036633014678955,25,25,5,0,273,0,273,0.96,0.8,0.6923076923076923,0.9666666666666667,0.8333333333333334,0.7012602880658436,0.952153110047847,0.7777777777777777,0.6793452357860551,0.2676923076923077,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.00032163361902348697,0.28406262397766113,0.28438425064086914,min L - lambda*Ld via gradient reversal,0.00032163361902348697,0.28406262397766113,25,25,5,0,273,0,273,0.88,0.8,0.6776556776556777,0.9,0.8333333333333334,0.688014403292181,0.8742690058479532,0.7777777777777777,0.6597637568424085,0.2023443223443223,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,210,5.1062481361441314e-05,0.276449978351593,0.27650102972984314,min L - lambda*Ld via gradient reversal,5.1062481361441314e-05,0.276449978351593,25,25,5,0,273,0,273,1.0,0.8,0.7582417582417582,1.0,0.8333333333333334,0.7611882716049383,1.0,0.7777777777777777,0.7649439489745523,0.2417582417582418,0.9228187919463087
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,250,6.898111223563319e-06,0.27581843733787537,0.2758253216743469,min L - lambda*Ld via gradient reversal,6.898111223563319e-06,0.27581843733787537,25,25,5,0,273,0,273,1.0,0.8,0.6703296703296703,1.0,0.8333333333333334,0.6694958847736626,1.0,0.8222222222222223,0.6757236154876719,0.3296703296703297,0.912751677852349
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.00010166715219384059,0.2679794430732727,0.26808109879493713,min L - lambda*Ld via gradient reversal,0.00010166715219384059,0.2679794430732727,25,25,5,0,273,0,273,0.84,0.8,0.6336996336996337,0.8333333333333334,0.8333333333333334,0.6450617283950617,0.8185185185185185,0.7777777777777777,0.6236879785589283,0.2063003663003663,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,250,0.0007822812767699361,0.2675986588001251,0.26838093996047974,min L - lambda*Ld via gradient reversal,0.0007822812767699361,0.2675986588001251,25,25,5,0,273,0,273,1.0,1.0,0.7802197802197802,1.0,1.0,0.7813786008230453,1.0,1.0,0.7831636862526933,0.21978021978021978,0.912751677852349
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,5.364274329622276e-06,0.2563279867172241,0.2563333511352539,min L - lambda*Ld via gradient reversal,5.364274329622276e-06,0.2563279867172241,25,25,5,0,273,0,273,0.88,0.8,0.6886446886446886,0.9,0.8333333333333334,0.6997170781893004,0.8742690058479532,0.7777777777777777,0.6755691471287802,0.19135531135531136,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,190,0.0019319984130561352,0.28700751066207886,0.288939505815506,min L - lambda*Ld via gradient reversal,0.0019319984130561352,0.28700751066207886,25,25,5,0,273,0,273,1.0,0.8,0.7106227106227107,1.0,0.8333333333333334,0.7160493827160495,1.0,0.7777777777777777,0.7119801642848177,0.28937728937728935,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.007519973907619715,0.26306888461112976,0.27058884501457214,min L - lambda*Ld via gradient reversal,0.007519973907619715,0.26306888461112976,25,25,5,0,273,0,273,0.88,0.8,0.6886446886446886,0.9,0.8333333333333334,0.7022890946502057,0.8742690058479532,0.7777777777777777,0.6757938532236217,0.19135531135531136,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.000610936142038554,0.25085923075675964,0.2514701783657074,min L - lambda*Ld via gradient reversal,0.000610936142038554,0.25085923075675964,25,25,5,0,273,0,273,0.84,0.8,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6769547325102879,0.8185185185185185,0.7777777777777777,0.6635265242774514,0.17333333333333334,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0006744107813574374,0.26309192180633545,0.2637663185596466,min L - lambda*Ld via gradient reversal,0.0006744107813574374,0.26309192180633545,25,25,5,0,273,0,273,0.84,0.8,0.6703296703296703,0.8666666666666667,0.8333333333333334,0.683641975308642,0.8306878306878307,0.7777777777777777,0.6376020426511311,0.1696703296703297,0.9161073825503355
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,5.1682727644219995e-05,0.0,5.1682727644219995e-05,min L - lambda*Ld via gradient reversal,5.1682727644219995e-05,0.0,20,20,10,0,273,0,273,0.95,0.7,0.6923076923076923,0.9583333333333334,0.6666666666666666,0.7051183127572016,0.9407407407407407,0.6518518518518519,0.6743946957187413,0.25769230769230766,0.6825938566552902
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,3.327172453282401e-05,0.0,3.327172453282401e-05,min L - lambda*Ld via gradient reversal,3.327172453282401e-05,0.0,20,20,10,0,273,0,273,0.85,0.7,0.6190476190476191,0.8333333333333334,0.6666666666666666,0.6292438271604938,0.8249999999999998,0.6518518518518519,0.6074512161161713,0.2309523809523809,0.6621160409556314
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.00013598114310298115,0.0,0.00013598114310298115,min L - lambda*Ld via gradient reversal,0.00013598114310298115,0.0,20,20,10,0,273,0,273,0.85,0.7,0.6336996336996337,0.8333333333333334,0.6666666666666666,0.64184670781893,0.8249999999999998,0.6555555555555556,0.6367716898694673,0.2163003663003663,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,9.55420546233654e-05,0.0,9.55420546233654e-05,min L - lambda*Ld via gradient reversal,9.55420546233654e-05,0.0,20,20,10,0,273,0,273,0.85,0.7,0.6007326007326007,0.8333333333333334,0.6666666666666666,0.6118827160493828,0.8249999999999998,0.6518518518518519,0.5909599108801394,0.24926739926739927,0.08191126279863481
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,6.75104747642763e-05,0.0,6.75104747642763e-05,min L - lambda*Ld via gradient reversal,6.75104747642763e-05,0.0,20,20,10,0,273,0,273,0.95,0.7,0.7289377289377289,0.9583333333333334,0.6666666666666666,0.7398405349794238,0.9407407407407407,0.6518518518518519,0.7233959347660757,0.22106227106227105,0.41638225255972694
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0006859659915789962,0.24493704736232758,0.24562300741672516,min L - lambda*Ld via gradient reversal,0.0006859659915789962,0.24493704736232758,20,20,10,0,273,0,273,0.9,0.7,0.663003663003663,0.9166666666666666,0.6666666666666666,0.6747685185185185,0.888888888888889,0.6518518518518519,0.6373716963304573,0.23699633699633704,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0030593196861445904,0.24477741122245789,0.24783672392368317,min L - lambda*Ld via gradient reversal,0.0030593196861445904,0.24477741122245789,20,20,10,0,273,0,273,0.95,0.7,0.7362637362637363,0.9583333333333334,0.6666666666666666,0.7448559670781894,0.9407407407407407,0.6518518518518519,0.734904942708095,0.21373626373626364,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0002538820554036647,0.21495799720287323,0.215211883187294,min L - lambda*Ld via gradient reversal,0.0002538820554036647,0.21495799720287323,20,20,10,0,273,0,273,0.85,0.7,0.6410256410256411,0.8333333333333334,0.6666666666666666,0.6494341563786009,0.8249999999999998,0.6555555555555556,0.6480370609519036,0.2089743589743589,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0001235020172316581,0.19516870379447937,0.19529220461845398,min L - lambda*Ld via gradient reversal,0.0001235020172316581,0.19516870379447937,20,20,10,0,273,0,273,0.85,0.7,0.6007326007326007,0.8333333333333334,0.6666666666666666,0.612525720164609,0.8249999999999998,0.6518518518518519,0.5916521181957544,0.24926739926739927,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.01791764423251152,0.18808002769947052,0.20599767565727234,min L - lambda*Ld via gradient reversal,0.01791764423251152,0.18808002769947052,20,20,10,0,273,0,273,0.9,0.7,0.6556776556776557,0.9166666666666666,0.6666666666666666,0.6697530864197532,0.888888888888889,0.6518518518518519,0.6337392646269459,0.24432234432234434,0.931740614334471
