epoch,L,Ld,backward_loss_scalar,class_loss,domain_loss,total_loss,train_accuracy,validation_accuracy,test_accuracy,domain_discriminator_accuracy,split,task,variant,lambda,seed,seed_values
190,0.0007112736930139363,0.0,0.0007112736930139363,0.0007112736930139363,0.0,0.0007112736930139363,1.0,,0.7765567765567766,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
195,0.00042072928044945,0.0,0.00042072928044945,0.00042072928044945,0.0,0.00042072928044945,1.0,,0.7728937728937729,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
200,0.0002635418204590678,0.0,0.0002635418204590678,0.0002635418204590678,0.0,0.0002635418204590678,1.0,,0.7765567765567766,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
205,0.0003642146766651422,0.0,0.0003642146766651422,0.0003642146766651422,0.0,0.0003642146766651422,1.0,,0.7765567765567766,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
210,0.00011097230890300125,0.0,0.00011097230890300125,0.00011097230890300125,0.0,0.00011097230890300125,1.0,,0.7765567765567766,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
215,0.00023319439787883312,0.0,0.00023319439787883312,0.00023319439787883312,0.0,0.00023319439787883312,1.0,,0.7765567765567766,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
220,9.25309068406932e-05,0.0,9.25309068406932e-05,9.25309068406932e-05,0.0,9.25309068406932e-05,1.0,,0.7728937728937729,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
225,0.00016345654148608446,0.0,0.00016345654148608446,0.00016345654148608446,0.0,0.00016345654148608446,1.0,,0.7838827838827839,0.3432343234323432,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
230,0.0001049830243573524,0.0,0.0001049830243573524,0.0001049830243573524,0.0,0.0001049830243573524,1.0,,0.7692307692307693,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
235,4.035656456835568e-05,0.0,4.035656456835568e-05,4.035656456835568e-05,0.0,4.035656456835568e-05,1.0,,0.7655677655677655,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
240,8.623223402537405e-05,0.0,8.623223402537405e-05,8.623223402537405e-05,0.0,8.623223402537405e-05,1.0,,0.7728937728937729,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
245,0.0012788401218131185,0.0,0.0012788401218131185,0.0012788401218131185,0.0,0.0012788401218131185,1.0,,0.7692307692307693,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
250,0.00041943087126128376,0.0,0.00041943087126128376,0.00041943087126128376,0.0,0.00041943087126128376,1.0,,0.7692307692307693,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
255,0.001474903547205031,0.0,0.001474903547205031,0.001474903547205031,0.0,0.001474903547205031,1.0,,0.7692307692307693,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
260,0.00015676222392357886,0.0,0.00015676222392357886,0.00015676222392357886,0.0,0.00015676222392357886,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
265,0.0001478225167375058,0.0,0.0001478225167375058,0.0001478225167375058,0.0,0.0001478225167375058,1.0,,0.7655677655677655,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
270,0.0002611192758195102,0.0,0.0002611192758195102,0.0002611192758195102,0.0,0.0002611192758195102,1.0,,0.7655677655677655,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
275,8.275215077446774e-05,0.0,8.275215077446774e-05,8.275215077446774e-05,0.0,8.275215077446774e-05,1.0,,0.7692307692307693,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
280,0.0001650693448027596,0.0,0.0001650693448027596,0.0001650693448027596,0.0,0.0001650693448027596,1.0,,0.7692307692307693,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
285,0.0003437082632444799,0.0,0.0003437082632444799,0.0003437082632444799,0.0,0.0003437082632444799,1.0,,0.7655677655677655,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
290,7.109984289854765e-05,0.0,7.109984289854765e-05,7.109984289854765e-05,0.0,7.109984289854765e-05,1.0,,0.7692307692307693,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
295,8.102619176497683e-05,0.0,8.102619176497683e-05,8.102619176497683e-05,0.0,8.102619176497683e-05,1.0,,0.7655677655677655,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
300,4.627435919246636e-05,0.0,4.627435919246636e-05,4.627435919246636e-05,0.0,4.627435919246636e-05,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
305,0.00010830728569999337,0.0,0.00010830728569999337,0.00010830728569999337,0.0,0.00010830728569999337,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
310,0.0009324487182311714,0.0,0.0009324487182311714,0.0009324487182311714,0.0,0.0009324487182311714,1.0,,0.7692307692307693,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
315,0.0001123617184930481,0.0,0.0001123617184930481,0.0001123617184930481,0.0,0.0001123617184930481,1.0,,0.7692307692307693,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
320,0.00014432158786803484,0.0,0.00014432158786803484,0.00014432158786803484,0.0,0.00014432158786803484,1.0,,0.7692307692307693,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
325,8.511067426297814e-05,0.0,8.511067426297814e-05,8.511067426297814e-05,0.0,8.511067426297814e-05,1.0,,0.7692307692307693,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
330,0.0001411396951880306,0.0,0.0001411396951880306,0.0001411396951880306,0.0,0.0001411396951880306,1.0,,0.7692307692307693,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
335,4.907819675281644e-05,0.0,4.907819675281644e-05,4.907819675281644e-05,0.0,4.907819675281644e-05,1.0,,0.7655677655677655,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
340,3.433451274759136e-05,0.0,3.433451274759136e-05,3.433451274759136e-05,0.0,3.433451274759136e-05,1.0,,0.7655677655677655,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
345,5.987950862618163e-05,0.0,5.987950862618163e-05,5.987950862618163e-05,0.0,5.987950862618163e-05,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
350,7.51671614125371e-05,0.0,7.51671614125371e-05,7.51671614125371e-05,0.0,7.51671614125371e-05,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
355,8.350858115591109e-05,0.0,8.350858115591109e-05,8.350858115591109e-05,0.0,8.350858115591109e-05,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
360,3.954999192501418e-05,0.0,3.954999192501418e-05,3.954999192501418e-05,0.0,3.954999192501418e-05,1.0,,0.7765567765567766,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
365,0.00010862426279345527,0.0,0.00010862426279345527,0.00010862426279345527,0.0,0.00010862426279345527,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
370,0.0003057429566979408,0.0,0.0003057429566979408,0.0003057429566979408,0.0,0.0003057429566979408,1.0,,0.7728937728937729,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
375,0.0007141339592635632,0.0,0.0007141339592635632,0.0007141339592635632,0.0,0.0007141339592635632,1.0,,0.7692307692307693,0.33663366336633666,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
380,9.095211862586439e-05,0.0,9.095211862586439e-05,9.095211862586439e-05,0.0,9.095211862586439e-05,1.0,,0.7692307692307693,0.33993399339933994,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
385,0.00019507021352183074,0.0,0.00019507021352183074,0.00019507021352183074,0.0,0.00019507021352183074,1.0,,0.7838827838827839,0.35313531353135313,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
390,0.002329763723537326,0.0,0.002329763723537326,0.002329763723537326,0.0,0.002329763723537326,1.0,,0.7875457875457875,0.37623762376237624,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
395,0.00017581558495294303,0.0,0.00017581558495294303,0.00017581558495294303,0.0,0.00017581558495294303,1.0,,0.7838827838827839,0.3927392739273927,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
400,0.00015688312123529613,0.0,0.00015688312123529613,0.00015688312123529613,0.0,0.00015688312123529613,1.0,,0.7802197802197802,0.39933993399339934,S1_train_I_test_all,three_class_with_air,MLP source only,0.0,0,"0,1,2,3,4"
1,1.116260290145874,0.6599915027618408,1.7762517929077148,1.116260290145874,0.6599915027618408,1.7762517929077148,0.5666666666666667,,0.3882783882783883,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
5,0.8416318893432617,0.5548535585403442,1.396485447883606,0.8416318893432617,0.5548535585403442,1.396485447883606,0.6,,0.608058608058608,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
10,0.6727923154830933,0.4273003339767456,1.1000926494598389,0.6727923154830933,0.4273003339767456,1.1000926494598389,0.5666666666666667,,0.6263736263736264,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
15,0.5282605290412903,0.39694225788116455,0.9252027869224548,0.5282605290412903,0.39694225788116455,0.9252027869224548,0.7666666666666667,,0.717948717948718,0.9042904290429042,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
20,0.3536989688873291,0.4336346983909607,0.7873336672782898,0.3536989688873291,0.4336346983909607,0.7873336672782898,0.8,,0.7289377289377289,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
25,0.1973693072795868,0.42855870723724365,0.6259280443191528,0.1973693072795868,0.42855870723724365,0.6259280443191528,0.9666666666666667,,0.706959706959707,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
30,0.14200104773044586,0.3894219994544983,0.531423032283783,0.14200104773044586,0.3894219994544983,0.531423032283783,1.0,,0.6996336996336996,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
35,0.078508660197258,0.34207186102867126,0.42058050632476807,0.078508660197258,0.34207186102867126,0.42058050632476807,1.0,,0.706959706959707,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
40,0.010433671995997429,0.29891449213027954,0.3093481659889221,0.010433671995997429,0.29891449213027954,0.3093481659889221,1.0,,0.7106227106227107,0.8976897689768977,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
45,0.011381738819181919,0.27732712030410767,0.2887088656425476,0.011381738819181919,0.27732712030410767,0.2887088656425476,1.0,,0.717948717948718,0.9075907590759076,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
50,0.046686429530382156,0.2786933183670044,0.32537975907325745,0.046686429530382156,0.2786933183670044,0.32537975907325745,1.0,,0.7216117216117216,0.8976897689768977,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
55,0.0016863263444975019,0.2983604669570923,0.30004680156707764,0.0016863263444975019,0.2983604669570923,0.30004680156707764,1.0,,0.6886446886446886,0.8943894389438944,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
60,0.0031311255879700184,0.29627880454063416,0.2994099259376526,0.0031311255879700184,0.29627880454063416,0.2994099259376526,1.0,,0.7142857142857143,0.8943894389438944,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
65,0.037604182958602905,0.3212823271751404,0.3588865101337433,0.037604182958602905,0.3212823271751404,0.3588865101337433,1.0,,0.7326007326007326,0.8910891089108911,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
70,0.02131548896431923,0.3239794373512268,0.34529492259025574,0.02131548896431923,0.3239794373512268,0.34529492259025574,1.0,,0.717948717948718,0.8877887788778878,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
75,0.004798430018126965,0.3281419277191162,0.33294036984443665,0.004798430018126965,0.3281419277191162,0.33294036984443665,1.0,,0.7289377289377289,0.8910891089108911,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
80,0.0022563007660210133,0.3208862245082855,0.32314252853393555,0.0022563007660210133,0.3208862245082855,0.32314252853393555,1.0,,0.7326007326007326,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
85,0.0015048233326524496,0.31952032446861267,0.32102513313293457,0.0015048233326524496,0.31952032446861267,0.32102513313293457,1.0,,0.7435897435897436,0.9042904290429042,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
90,0.008227930404245853,0.3094618022441864,0.3176897466182709,0.008227930404245853,0.3094618022441864,0.3176897466182709,1.0,,0.7435897435897436,0.9075907590759076,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
95,0.0004424897488206625,0.30699610710144043,0.30743858218193054,0.0004424897488206625,0.30699610710144043,0.30743858218193054,1.0,,0.7362637362637363,0.9108910891089109,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
100,0.0016313501400873065,0.30140480399131775,0.3030361533164978,0.0016313501400873065,0.30140480399131775,0.3030361533164978,1.0,,0.7216117216117216,0.9108910891089109,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
105,0.003408492077142,0.31001776456832886,0.31342625617980957,0.003408492077142,0.31001776456832886,0.31342625617980957,1.0,,0.7216117216117216,0.9042904290429042,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
110,0.0033244735095649958,0.3344408869743347,0.3377653658390045,0.0033244735095649958,0.3344408869743347,0.3377653658390045,1.0,,0.7142857142857143,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
115,0.0009779122192412615,0.344833105802536,0.34581100940704346,0.0009779122192412615,0.344833105802536,0.34581100940704346,1.0,,0.717948717948718,0.8976897689768977,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
120,0.000470047234557569,0.32672572135925293,0.32719576358795166,0.000470047234557569,0.32672572135925293,0.32719576358795166,1.0,,0.717948717948718,0.8976897689768977,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
125,0.0016124435933306813,0.2812362313270569,0.28284868597984314,0.0016124435933306813,0.2812362313270569,0.28284868597984314,1.0,,0.717948717948718,0.9075907590759076,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
130,0.0008200769661925733,0.2663475275039673,0.2671675980091095,0.0008200769661925733,0.2663475275039673,0.2671675980091095,1.0,,0.717948717948718,0.9108910891089109,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
135,0.00041232825606130064,0.2678525149822235,0.2682648301124573,0.00041232825606130064,0.2678525149822235,0.2682648301124573,1.0,,0.717948717948718,0.9108910891089109,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
140,0.00018273662135470659,0.32025012373924255,0.3204328715801239,0.00018273662135470659,0.32025012373924255,0.3204328715801239,1.0,,0.7106227106227107,0.9042904290429042,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
145,0.0001514630566816777,0.30563589930534363,0.3057873547077179,0.0001514630566816777,0.30563589930534363,0.3057873547077179,1.0,,0.706959706959707,0.8943894389438944,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
150,0.0003630206047091633,0.30879366397857666,0.3091566860675812,0.0003630206047091633,0.30879366397857666,0.3091566860675812,1.0,,0.7032967032967034,0.8943894389438944,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
155,0.0005066401790827513,0.3244827687740326,0.3249894082546234,0.0005066401790827513,0.3244827687740326,0.3249894082546234,1.0,,0.684981684981685,0.8976897689768977,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
160,0.00046805135207250714,0.3348582684993744,0.33532631397247314,0.00046805135207250714,0.3348582684993744,0.33532631397247314,1.0,,0.673992673992674,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
165,0.0013614498311653733,0.3346538841724396,0.33601534366607666,0.0013614498311653733,0.3346538841724396,0.33601534366607666,1.0,,0.673992673992674,0.8976897689768977,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
170,0.0009596373420208693,0.3334121108055115,0.33437174558639526,0.0009596373420208693,0.3334121108055115,0.33437174558639526,1.0,,0.684981684981685,0.8943894389438944,S1_train_I_test_all,three_class_with_air,DANN-UDA,0.2,0,"0,1,2,3,4"
