sample_id,label,target_file,period,day,day_num,day_label,batch,source_kind,s1_exp_mean,s1_exp_absmax,s1_exp_span,s1_exp_tail,s1_exp_auc_abs,s1_rec_mean,s1_rec_tail,s1_rec_slope,s1_overall_std,s2_exp_mean,s2_exp_absmax,s2_exp_span,s2_exp_tail,s2_exp_auc_abs,s2_rec_mean,s2_rec_tail,s2_rec_slope,s2_overall_std,s3_exp_mean,s3_exp_absmax,s3_exp_span,s3_exp_tail,s3_exp_auc_abs,s3_rec_mean,s3_rec_tail,s3_rec_slope,s3_overall_std,s4_exp_mean,s4_exp_absmax,s4_exp_span,s4_exp_tail,s4_exp_auc_abs,s4_rec_mean,s4_rec_tail,s4_rec_slope,s4_overall_std,s5_exp_mean,s5_exp_absmax,s5_exp_span,s5_exp_tail,s5_exp_auc_abs,s5_rec_mean,s5_rec_tail,s5_rec_slope,s5_overall_std,s6_exp_mean,s6_exp_absmax,s6_exp_span,s6_exp_tail,s6_exp_auc_abs,s6_rec_mean,s6_rec_tail,s6_rec_slope,s6_overall_std
air_1,air,air\air_1.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,0.004671488848704039,0.03571428571428571,0.03571428571428571,0.014880952380952378,0.004671488848704039,0.023357444243520185,0.030952380952380953,0.0004285714945948378,0.016888397499845567,0.0015273879756381612,0.00904977375565611,0.013574660633484163,0.004600301659125188,0.0016419420738110234,0.006243198350420985,0.008672699849170438,9.143675008650773e-05,0.0035170367638814844,-0.0017561865663131488,0.005405405405405406,0.010810810810810811,9.009009009009009e-05,0.0018018018018018018,0.000638613296841145,0.0025225225225225228,5.0960994282656764e-05,0.0030398370772578196,-0.00015146597425078477,0.010256410256410256,0.015384615384615385,0.002991452991452992,0.0026614735475494968,0.007681488694146921,0.01,0.00013643155707878513,0.005492595093419356,-0.011024908125765617,0.03225806451612903,0.03225806451612903,0.0,0.011024908125765617,0.0012249897917517353,0.0037634408602150535,7.482509631449886e-05,0.01397425223166119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986138103127952
baseline_1,air,air\baseline_1.csv,Period_I,baseline,0,Period I baseline,source,baseline_as_air,-0.00012410027302060066,0.029411764705882353,0.029411764705882353,0.0,0.00012410027302060066,0.0,0.0,0.0,0.0019100515232258121,-0.002234724175652445,0.003703703703703704,0.003703703703703704,-0.0008024691358024691,0.002234724175652445,-0.0013908423191123613,-0.0012345679012345679,-1.8526281609854358e-05,0.0019311679645029128,-0.002494346924027321,0.0055248618784530384,0.0055248618784530384,-0.0020257826887661143,0.002494346924027321,-0.00025642818845140683,0.0,1.0731931337903848e-05,0.0024239885311475155,0.0024951314508276524,0.004807692307692308,0.004807692307692308,0.0025641025641025645,0.0024951314508276524,0.003813696851671534,0.0024038461538461544,3.1813676025177393e-06,0.00344712344010915,0.002058248430585572,0.024390243902439025,0.024390243902439025,0.0,0.002058248430585572,0.00041164968611711434,0.0,-1.6487218382944215e-05,0.004504957865699789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference_1,air,air\reference_1.csv,Period_II,Day 1,1,Period II Day 1,batch1,reference_as_air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010916669552156415,-0.004366812227074237,0.004366812227074236,0.0,-0.004366812227074235,0.004366812227074237,-0.004317189360857482,-0.004168320762207224,1.199178526234347e-05,0.00364502333435303,0.0,0.0,0.0,0.0,0.0,0.0013828763828763828,0.0026455026455026454,0.00016203000216871407,0.0023974595442001066,-0.0023310023310023306,0.004784688995215311,0.004784688995215311,-0.0023923444976076554,0.0023310023310023306,-0.0016855154414963025,-0.0008699434536755111,0.00011758546767275432,0.0035707490543005153,-0.003108003108003108,0.030303030303030304,0.030303030303030304,-0.006060606060606061,0.003108003108003108,-0.0006887052341597796,0.0,0.00014114778523751048,0.008584011525096991,0.0037986704653371318,0.037037037037037035,0.037037037037037035,0.007407407407407407,0.0037986704653371318,0.009259259259259259,0.006734006734006734,-0.00013906428082287753,0.013936087281428648
air_2,air,air\air_2.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,-0.023703152146934723,0.029411764705882353,0.029411764705882353,-0.02205882352941176,0.023703152146934723,-0.02482005460412013,-0.02941176470588235,-0.00017545941099945088,0.013646265756065219,-0.00041296346171110514,0.00425531914893617,0.00851063829787234,-0.00014184397163120567,0.0004847831941826017,-0.001436394649429931,-0.00425531914893617,-9.485228008063995e-05,0.0024043525956959438,-0.0007319383449582365,0.00510204081632653,0.01020408163265306,-0.0002551020408163265,0.0007749935417204856,-0.0013777662963919747,-0.0039115646258503405,-7.388725748295689e-05,0.003321178142683941,-0.007751073440026769,0.013215859030837005,0.013215859030837005,-0.007856093979441998,0.007751073440026769,-0.00936820386996041,-0.014023494860499268,-0.0001650948364257933,0.005263972146635202,-0.00033311125916055963,0.02631578947368421,0.02631578947368421,-0.00043859649122807013,0.00033311125916055963,-0.002664890073284476,-0.009210526315789473,-0.0001698170159649131,0.0071840222605471064,0.01659634317862166,0.06666666666666667,0.06666666666666667,0.013333333333333334,0.01659634317862166,0.006188466947960619,0.0033333333333333335,-6.853502622293561e-05,0.02849273082891837
reference_2,air,air\reference_2.csv,Period_II,Day 1,1,Period II Day 1,batch1,reference_as_air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019883734556019475,-0.00212742134139514,0.004366812227074236,0.004366812227074236,-0.002183406113537118,0.00212742134139514,-0.0026300119094878915,-0.0027788805081381497,-5.357347838272596e-05,0.002087793778241842,0.0,0.0,0.0,0.0,0.0,-0.0004784688995215311,-0.0004784688995215311,-3.65869256207604e-05,0.0013834114814143953,0.00245368666421298,0.009569377990430622,0.009569377990430622,0.0028708133971291866,0.00245368666421298,0.0024467159634623745,0.002392344497607655,-2.1117467022870695e-05,0.003333894812994245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019281197145231005,0.0,0.0,0.0,0.0,0.0,0.003367003367003367,0.0016835016835016834,-0.00018022005128041766,0.010349086935311289
air_3,air,air\air_3.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,-0.00012055455093429776,0.02857142857142857,0.02857142857142857,0.0,0.00012055455093429776,0.0012055455093429777,0.002857142857142857,6.444447070040763e-05,0.005855140919768212,0.0026128559574881273,0.0041841004184100415,0.0041841004184100415,0.0036959553695955372,0.0026128559574881273,0.004996204297088782,0.00683403068340307,5.474924067375681e-05,0.0025415161472672055,-0.0018240154711673697,0.005208333333333333,0.005208333333333333,-0.002430555555555555,0.0018240154711673697,-0.00013185654008438817,0.0,7.152495518727435e-06,0.0025250092830948747,0.0013174526874254477,0.008438818565400843,0.012658227848101264,0.0018987341772151898,0.00235005073973188,0.004682298064768822,0.006047819971870605,6.478867601794989e-05,0.0037702721168129507,0.0013324450366422385,0.02631578947368421,0.02631578947368421,0.0,0.0013324450366422385,0.006551188096824339,0.011842105263157895,0.00020615731081508962,0.00881438350056194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_3,air,air\baseline_3.csv,Period_I,baseline,0,Period I baseline,source,baseline_as_air,-0.00897976847343936,0.02564102564102564,0.05128205128205128,-0.023504273504273494,0.010278048252731795,-0.024775505788164016,-0.024786324786324778,-3.192385958632295e-06,0.016602687920279774,-0.008689622613673245,0.013986013986013986,0.013986013986013986,-0.013811188811188809,0.008689622613673245,-0.014649907054970344,-0.015675990675990674,-3.591521434397053e-05,0.006572735936305754,-0.0009638244554391826,0.005076142131979695,0.005076142131979695,-0.0032994923857868016,0.0009638244554391826,-0.0004069481034076549,-0.0007614213197969543,-4.280415315086768e-06,0.00182194266899156,-0.007278481012658227,0.0125,0.0125,-0.010763888888888885,0.007278481012658227,-0.012957102672292544,-0.01520833333333333,-0.00011202961319860383,0.0067429921380411355,-0.005450070323488044,0.020833333333333332,0.020833333333333332,-0.011458333333333333,0.005450070323488044,-0.006592827004219409,-0.005902777777777777,-0.00013593709278795105,0.010238499725461276,-0.005063291139240506,0.06666666666666667,0.06666666666666667,-0.0022222222222222222,0.005063291139240506,-0.0028129395218002818,-0.0022222222222222222,5.858601876850173e-05,0.013821303908251871
reference_3,air,air\reference_3.csv,Period_II,Day 1,1,Period II Day 1,batch1,reference_as_air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021209316859754097,0.004405286343612336,0.004405286343612335,0.0,0.004405286343612335,0.004405286343612336,0.004855826992390869,0.005806968362034442,7.852815174429294e-05,0.0024888437596205996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004751305982357836,0.002442002442002442,0.009523809523809525,0.009523809523809525,0.0028571428571428576,0.002442002442002442,0.005086580086580087,0.007142857142857144,0.00029619392637032516,0.004774831451610961,0.01942501942501942,0.030303030303030304,0.030303030303030304,0.02727272727272727,0.01942501942501942,0.027892561983471068,0.030303030303030297,0.00038644884276398047,0.01626995830269194,0.015779092702169626,0.07692307692307693,0.07692307692307693,0.03076923076923077,0.015779092702169626,0.05769230769230769,0.07342657342657342,0.0021597092425009647,0.03554289490527284
air_4,air,air\air_4.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,0.0,0.0,0.0,0.0,0.0,0.002109704641350211,0.0,-2.238086148769512e-05,0.005367207286383174,0.004649543238703862,0.009708737864077669,0.009708737864077669,0.005825242718446601,0.004649543238703862,0.010364180082749577,0.009304207119741097,-1.9288705066586433e-05,0.004538541745090774,0.0010303208713570797,0.005813953488372093,0.011627906976744186,-0.0001937984496124031,0.0012756353645373367,0.005151604356785399,0.004748062015503876,2.7197354077440657e-05,0.003304924341406015,0.003486564512547192,0.015789473684210527,0.021052631578947368,0.007894736842105263,0.005440817232955809,0.01312458361092605,0.015263157894736845,0.00012598590023055222,0.006767908530232007,-0.00033755274261603374,0.04,0.04,0.0,0.00033755274261603374,0.004556962025316456,0.004,4.197817022332552e-05,0.00881020561726175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_4,air,air\baseline_4.csv,Period_I,baseline,0,Period I baseline,source,baseline_as_air,0.0071546505228398454,0.043478260869565216,0.043478260869565216,0.012318840579710146,0.0071546505228398454,0.0016510731975784257,-0.0014492753623188406,-0.0001580849420353445,0.017523322599537042,0.0004351857107717926,0.008968609865470852,0.017937219730941704,0.004110612855007473,0.0034247223325954094,-0.006111521068664739,-0.010463378176382663,-0.00021430544701837382,0.007664887524518997,-0.004914370811615786,0.01764705882352941,0.01764705882352941,-0.0021568627450980395,0.004914370811615786,-0.010846363862000495,-0.015196078431372552,-0.00019598557694167217,0.00587902986207931,-0.006687365655600669,0.018867924528301886,0.018867924528301886,-0.00649895178197065,0.006687365655600669,-0.013852400286601388,-0.020230607966457023,-0.00024711236199983014,0.007166617949463738,0.0,0.03571428571428571,0.07142857142857142,0.0,0.0003013863773357444,-0.005274261603375529,-0.01785714285714286,-0.0003500489329735611,0.010755548566309222,0.017721518987341773,0.1,0.1,0.018333333333333333,0.017721518987341773,0.006751054852320675,0.010000000000000002,4.3052240291306764e-05,0.035337955088640204
